Symbol,Alias,Type,Evidence
PIEZO1,,Ion Channel,PMID:20813920
PIEZO2,,Ion Channel,PMID:20813920
KCNK2,TREK1,Ion Channel,PMID:24550493
KCNK4,TRAAK,Ion Channel,PMID:24550493
KCNK10,TREK2,Ion Channel,PMID:24550493
TMEM63A,OSCA,Ion Channel,PMID:30382938
TMEM63B,,Ion Channel,PMID:30382938
TMEM63C,,Ion Channel,PMID:30382938
TMEM87A,ELKIN1,Ion Channel,PMID:32228863
TRPV4,,Ion Channel,PMID:31722978
TMC1,,Ion Channel,PMID:24239344
TMC2,,Ion Channel,PMID:24239344
YAP1,,Coactivator,PMID:21654799
MRTFA,MKL1,Coactivator,PMID:12732141
MRTFB,MKL2,Coactivator,PMID:12732141
CTNNB1,,Coactivator,PMID:26155008
SRF,,Transcription Factor,PMID:12732141
